bodyPart,muscle,exerciseName
"arms","Forearm","Grip"
"arms","Forearm","One Hand​​​​​​​"
"arms","Forearm","One Hand Grip"
"arms","Forearm","Reverse Curl"
"arms","Forearm","Reverse Wrist Curl"
"arms","Forearm","Seated Pronation"
"arms","Forearm","Seated Supination"
"arms","Forearm","Wrist Curl"
"arms","Upper Arms","Arm Curl"
"arms","Upper Arms","Bench Dip"
"arms","Upper Arms","Bench Dip:  heel on floor"
"arms","Upper Arms","Bent-over Triceps Extension"
"arms","Upper Arms","Close Grip Bench Press"
"arms","Upper Arms","Close Grip Push-up"
"arms","Upper Arms","Close Grip Push-up:  Incline on bar"
"arms","Upper Arms","Close Grip Push-up:  on knees"
"arms","Upper Arms","Concentration Curl"
"arms","Upper Arms","Curl:  One Arm Curl"
"arms","Upper Arms","Inverted Biceps Row"
"arms","Upper Arms","Lying Triceps Extension"
"arms","Upper Arms","Lying Triceps Extension:  Skull Crusher"
"arms","Upper Arms","One Arm Triceps Extension (on bench)"
"arms","Upper Arms","Preacher Curl"
"arms","Upper Arms","Preacher Curl: arms high"
"arms","Upper Arms","Preacher Curl: Stirrups"
"arms","Upper Arms","Pushdown"
"arms","Upper Arms","Pushdown:  One Arm"
"arms","Upper Arms","Pushdown:  with back support"
"arms","Upper Arms","Pushdown:  with V-bar attachment"
"arms","Upper Arms","Standing Triceps Dip"
"arms","Upper Arms","Triceps Dip"
"arms","Upper Arms","Triceps Dip:  alternative machine"
"arms","Upper Arms","Triceps Dip:  kneeling"
"arms","Upper Arms","Triceps Extension"
"arms","Upper Arms","Triceps Extension:  with preacher pad New!"
"back","Back","Chin-up"
"back","Back","Front Pulldown"
"back","Back","Gripless Shrug"
"back","Back","Inverted Shrug"
"back","Back","Lying Shoulder External Rotation"
"back","Back","Seated Shoulder External Rotation"
"back","Back","Seated Shoulder External Rotation:  Standing"
"back","Back","Seated Shrug"
"back","Back","Shoulder External Rotation"
"back","Back","Shoulder Internal Rotation"
"back","Back","Shoulder Internal Rotation:  on floor"
"back","Back","Shrug with Stirrups"
"back","Back","Standing Shoulder Internal Rotation"
"back","Back","Trap Bar Shrug"
"back","Back","Upright Shoulder External Rotation (with support)"
"calves","Calves","45° Calf Press"
"calves","Calves","45° Calf Raise"
"calves","Calves","45° Reverse Calf Press"
"calves","Calves","45° Reverse Calf Raise"
"calves","Calves","45° Reverse Calf Raise (on hack press)"
"calves","Calves","45° Reverse Calf Raise (plate loaded)"
"calves","Calves","Calf Extension"
"calves","Calves","Donkey Calf Raise"
"calves","Calves","Forward Angled Single Leg Calf Raise"
"calves","Calves","Hack Reverse Calf Raise"
"calves","Calves","Lying Calf Press"
"calves","Calves","Lying Reverse Calf Press"
"calves","Calves","Reverse Calf Extension"
"calves","Calves","Reverse Calf Raise"
"calves","Calves","Reverse Calf Raise:  Single Leg"
"calves","Calves","Safety Bar Reverse Calf Raise"
"calves","Calves","Safety Barbell Seated Calf Raise"
"calves","Calves","Seated Calf Press"
"calves","Calves","Seated Calf Raise"
"calves","Calves","Seated Reverse Calf Press"
"calves","Calves","Single Leg Calf Raise"
"calves","Calves","Standing Calf Raise"
"calves","Calves","Standing Calf Raise:  One Arm Single Leg Calf Raise"
"calves","Calves","Standing Calf Raise:  Single Leg"
"chest","Chest","Chest Press"
"chest","Chest","Clap Push-up"
"chest","Chest","Decline Chest Press"
"chest","Chest","Decline Push-up"
"chest","Chest","Decline Push-up:  on stability ball"
"chest","Chest","Depth Push-up"
"chest","Chest","Flies"
"chest","Chest","Flies:  Lying Fly"
"chest","Chest","Flies:  Seated Fly"
"chest","Chest","Flies:  Standing Fly"
"chest","Chest","Incline Fly"
"chest","Chest","Incline Shoulder Raise"
"chest","Chest","Presses:  Chest Press

Standing"
"chest","Chest","Presses:  Decline Chest Press"
"chest","Chest","Push-up"
"chest","Chest","Push-up Plus"
"chest","Chest","Push-up:  Archer"
"chest","Chest","Push-up:  Incline"
"chest","Chest","Push-up:  on knees"
"chest","Chest","Standing Fly"
"hips","Hips","Assisted Wheel Rollout"
"hips","Hips","Bent Knee Good-morning"
